transaction_id,customer_id,transaction_datetime,transaction_type,merchant_category,amount,is_fraud
TX1000000,SA013946,2023-11-18 09:10:03,ATM Withdrawal,Fuel Stations,1505.06,0
TX1000001,SA010307,2023-09-03 05:06:39,Withdrawal,Online Shopping,456.47,0
TX1000002,SA012458,2023-12-15 02:25:41,EFT Payment,Entertainment,84.8,0
TX1000003,SA013735,2023-12-25 19:26:55,Transfer,Entertainment,1005.62,0
TX1000004,SA014466,2023-10-09 19:15:08,Card Payment,Restaurants,615.63,0
TX1000005,SA013664,2023-12-29 20:16:53,EFT Payment,Accommodation,1751.78,0
TX1000006,SA013855,2023-07-23 23:16:07,Debit Order,Online Shopping,119.34,0
TX1000007,SA010107,2023-12-12 06:06:19,Online Purchase,Education,101.31,0
TX1000008,SA012530,2023-11-28 21:33:47,Deposit,Hardware & Construction,371.96,0
TX1000009,SA013858,2023-11-10 09:31:15,Card Payment,Hardware & Construction,172.11,0
TX1000010,SA012331,2023-10-06 15:07:32,Card Payment,Medical,75.12,0
TX1000011,SA012300,2023-11-29 19:39:33,Debit Order,Hardware & Construction,228.14,0
TX1000012,SA013797,2023-11-06 04:22:23,Card Payment,Financial Services,768.97,0
TX1000013,SA012588,2023-12-10 21:45:51,Debit Order,Insurance,361.01,0
TX1000014,SA013201,2023-10-11 00:54:21,Transfer,Telecommunication,23.78,0
TX1000015,SA011651,2023-10-07 16:37:47,Transfer,Insurance,93.48,0
TX1000016,SA010880,2023-12-24 13:57:48,Withdrawal,Travel,1486.84,0
TX1000017,SA010204,2023-03-02 13:34:14,Withdrawal,Utilities,826.17,0
TX1000018,SA014299,2023-11-28 10:02:15,EFT Payment,Restaurants,51.39,0
TX1000019,SA011579,2023-09-18 10:39:02,Online Purchase,Fuel Stations,290.05,0
TX1000020,SA013203,2023-12-19 14:05:22,Withdrawal,Insurance,341.77,0
TX1000021,SA011293,2023-12-27 11:50:53,ATM Withdrawal,Utilities,1200.21,0
TX1000022,SA014006,2023-12-04 01:00:32,Online Purchase,Accommodation,543.13,0
TX1000023,SA010554,2023-11-27 06:47:11,Withdrawal,Clothing Retail,367.06,0
TX1000024,SA010898,2023-10-20 03:49:34,Transfer,Government Services,102.19,0
TX1000025,SA014962,2023-02-19 17:45:19,Deposit,Education,746.12,0
TX1000026,SA014107,2023-04-22 04:31:14,EFT Payment,Education,1126.08,0
TX1000027,SA014933,2023-10-10 19:57:33,ATM Withdrawal,Education,1274.72,0
TX1000028,SA014495,2023-12-22 18:34:47,Transfer,Fuel Stations,109.07,0
TX1000029,SA014485,2023-12-26 11:33:50,Transfer,Entertainment,196.77,0
TX1000030,SA012601,2023-11-16 10:58:50,Deposit,Telecommunication,158.28,0
TX1000031,SA010773,2023-07-25 13:50:15,Deposit,Transportation,220.61,0
TX1000032,SA011943,2023-12-01 06:22:38,Debit Order,Government Services,391.2,0
TX1000033,SA012835,2023-12-17 02:08:55,Transfer,Education,810.24,0
TX1000034,SA011658,2023-12-24 15:26:41,EFT Payment,Accommodation,2167.07,0
TX1000035,SA011170,2023-08-19 22:35:09,EFT Payment,Restaurants,110.77,0
TX1000036,SA010507,2023-12-30 22:17:54,Transfer,Grocery Stores,844.95,0
TX1000037,SA013661,2023-09-11 02:53:41,Deposit,Restaurants,652.83,0
TX1000038,SA012838,2023-08-20 13:14:14,Withdrawal,Accommodation,38.46,0
TX1000039,SA010337,2023-11-21 20:49:30,Debit Order,Transportation,61.58,0
TX1000040,SA012276,2023-07-05 09:39:13,Transfer,Online Shopping,488.15,0
TX1000041,SA014723,2023-11-24 06:12:02,Online Purchase,Medical,32.83,0
TX1000042,SA011330,2023-11-27 06:09:35,Card Payment,Restaurants,196.66,0
TX1000043,SA010321,2023-09-04 09:36:48,Deposit,Financial Services,507.44,0
TX1000044,SA014624,2023-06-17 09:17:02,ATM Withdrawal,Telecommunication,319.53,0
TX1000045,SA013776,2023-12-19 04:04:57,Card Payment,Financial Services,624.56,0
TX1000046,SA013524,2023-08-24 22:46:45,Withdrawal,Education,411.94,0
TX1000047,SA014961,2023-08-20 05:47:35,Transfer,Utilities,340.41,0
TX1000048,SA013549,2023-10-25 07:33:10,Debit Order,Hardware & Construction,278.91,0
TX1000049,SA010779,2023-12-28 13:38:38,Withdrawal,Government Services,57.08,0
TX1000050,SA012605,2023-12-28 11:42:18,Withdrawal,Travel,505.86,0
TX1000051,SA011772,2023-11-27 01:32:06,Debit Order,Restaurants,355.22,0
TX1000052,SA010567,2023-05-30 20:14:01,Deposit,Restaurants,143.37,0
TX1000053,SA010329,2023-11-13 23:21:35,Withdrawal,Clothing Retail,704.37,0
